bbticker,isin
BDL IN Equity,INE171Z01026
NIACL IN Equity,INE470Y01017
PCBL IN Equity,INE602A01031
VMART IN Equity,INE665J01013
TEAM IN Equity,INE985S01024
ADANIGR IN Equity,INE364U01010
RITE IN Equity,INE320J01015
VARROC IN Equity,INE665L01035
CREDAG IN Equity,INE741K01010
AAVAS IN Equity,INE216P01012
BOMH IN Equity,INE457A01014
DN IN Equity,INE288B01029
FINEORG IN Equity,INE686Y01026
HDFCAMC IN Equity,INE127D01025
JKPAPER IN Equity,INE789E01012
JMNA IN Equity,INE039C01032
INDOSTAR IN Equity,INE896L01010
IRCON IN Equity,INE962Y01021
KEII IN Equity,INE878B01027
ORIENTEL IN Equity,INE142Z01019
TCNSBR IN Equity,INE778U01029
YAARI IN Equity,INE126M01010
TVSHLTD IN Equity,INE105A01035
CHALET IN Equity,INE427F01016
DALBHARA IN Equity,INE00R701025
BYRCS IN Equity,INE462A01022
BOOT IN Equity,INE358A01014
CGCL IN Equity,INE180C01042
AMBER IN Equity,INE371P01015
ARVINDFA IN Equity,INE955V01021
ATGL IN Equity,INE399L01023
GTFL IN Equity,INE276A01018
MCX IN Equity,INE745G01035
METROHL IN Equity,INE112L01020
KPITTECH IN Equity,INE04I401011
NEST IN Equity,INE239A01024
RVNL IN Equity,INE415G01027
RHIM IN Equity,INE743M01012
POLYCAB IN Equity,INE455K01017
TECHNOE IN Equity,INE285K01026
TCIEXP IN Equity,INE586V01016
AFFLE IN Equity,INE00WC01027
INMART IN Equity,INE933S01016
MIDHANI IN Equity,INE099Z01011
KNM IN Equity,INE717A01029
SJET IN Equity,INE285B01017
SPANDANA IN Equity,INE572J01011
TSTY IN Equity,INE488B01017
WESTLIFE IN Equity,INE274F01020
RESP IN Equity,INE688D01026
SWSOLAR IN Equity,INE00M201021
360ONE IN Equity,INE466L01038
AACL IN Equity,INE150B01039
IRCTC IN Equity,INE335Y01020
FLUOROCH IN Equity,INE09N301011
BRSN IN Equity,INE838B01013
CSBBANK IN Equity,INE679A01013
GMM IN Equity,INE541A01023
GRSE IN Equity,INE382Z01011
PLM IN Equity,INE205C01021
SUMICHEM IN Equity,INE258G01013
UJJIVANS IN Equity,INE551W01018
SBICARD IN Equity,INE018E01016
ICP IN Equity,INE485C01011
SUVENPHA IN Equity,INE03QK01018
POWERIND IN Equity,INE07Y701011
PPC IN Equity,INE633B01018
PSPPL IN Equity,INE488V01015
SOLARA IN Equity,INE624Z01016
CAMS IN Equity,INE596I01012
HEMIPROP IN Equity,INE0AJG01018
HAPPSTMN IN Equity,INE419U01012
ANGELONE IN Equity,INE732I01013
MAXHEALT IN Equity,INE027H01010
MAZDOCKS IN Equity,INE249Z01012
BLA IN Equity,INE050E01027
ROSSARI IN Equity,INE02A801020
ROUTE IN Equity,INE450U01017
PRINCPIP IN Equity,INE689W01016
TANLA IN Equity,INE483C01032
VORG IN Equity,INE565V01010
UTIAM IN Equity,INE094J01016
RBA IN Equity,INE07T201019
GLAND IN Equity,INE068V01023
ANURAS IN Equity,INE930P01018
LODHA IN Equity,INE670K01029
HOMEFIRS IN Equity,INE481N01025
HGSL IN Equity,INE170I01016
EQUITASB IN Equity,INE063P01018
FCT IN Equity,INE188A01015
INDIGOPN IN Equity,INE09VQ01012
IRFC IN Equity,INE053F01010
JUBLINGR IN Equity,INE0BY001018
KALYANKJ IN Equity,INE303R01014
LXCHEM IN Equity,INE576O01020
NAZARA IN Equity,INE418L01021
RAILTEL IN Equity,INE0DD101019
SONACOMS IN Equity,INE073K01018
APTUS IN Equity,INE852O01025
DEVYANI IN Equity,INE872J01023
BORORENE IN Equity,INE666D01022
BCG IN Equity,INE425B01027
EASEMYTR IN Equity,INE07O001026
CHEMPLAS IN Equity,INE488A01050
CLEAN IN Equity,INE227W01023
ABSLAMC IN Equity,INE404A01024
GLS IN Equity,INE03Q201024
HLEGLAS IN Equity,INE461D01028
MAPMYIND IN Equity,INE0BV301023
MEDPLUS IN Equity,INE804L01022
METROBRA IN Equity,INE317I01021
KIMS IN Equity,INE967H01025
GOCOLORS IN Equity,INE0BJS01011
GRINFRA IN Equity,INE201P01022
LATENTVI IN Equity,INE0I7C01011
NUVOCO IN Equity,INE118D01016
NYKAA IN Equity,INE388Y01029
PAYTM IN Equity,INE982J01020
POLICYBZ IN Equity,INE417T01026
PRIVISCL IN Equity,INE959A01019
RATI IN Equity,INE834M01019
SHYAMMET IN Equity,INE810G01011
SAPPHIRE IN Equity,INE806T01020
STARHEAL IN Equity,INE575P01011
VIJAYA IN Equity,INE043W01024
ZOMATO IN Equity,INE758T01015
MTARTECH IN Equity,INE864I01014
LICI IN Equity,INE0J1Y01017
CAMPUS IN Equity,INE278Y01022
DELHIVER IN Equity,INE148O01028
AWLTD IN Equity,INE699H01024
GREENP IN Equity,INE08ZM01014
AETHER IN Equity,INE0BWX01014
JBMA IN Equity,INE927D01044
MSUMI IN Equity,INE0FS801015
MANYAVAR IN Equity,INE825V01034
TEJASNET IN Equity,INE010J01012
OLECTRA IN Equity,INE260D01016
RAINBOW IN Equity,INE961O01016
PIRPHARM IN Equity,INE0DK501011
KFINTECH IN Equity,INE138Y01010
FIVESTAR IN Equity,INE128S01021
CRAFTSMA IN Equity,INE00LO01017
BIKAJI IN Equity,INE00E101023
BLSIN IN Equity,INE153T01027
ACI IN Equity,INE128X01021
DATAPATT IN Equity,INE0IX101010
EPIGRAL IN Equity,INE071N01016
MEDANTA IN Equity,INE474Q01031
JINW IN Equity,INE247D01039
RUSTOMJE IN Equity,INE263M01029
TMB IN Equity,INE668A01016
NSLNISP IN Equity,INE0NNS01018
MANKIND IN Equity,INE634S01028
JIOFIN IN Equity,INE758E01017
GODPI IN Equity,INE177H01039
KAYNES IN Equity,INE918Z01012
KKF IN Equity,INE884B01025
SII IN Equity,INE429E01023
SYRMA IN Equity,INE0DYJ01015
CONCORDB IN Equity,INE338H01029
ANANDRAT IN Equity,INE463V01026
ACCE IN Equity,INE731H01025
HAPPYFOR IN Equity,INE330T01021
HBPS IN Equity,INE292B01021
JWL IN Equity,INE209L01016
DOMS IN Equity,INE321T01012
LLOYDSME IN Equity,INE281B01032
ELCN IN Equity,INE205B01031
JSWINFRA IN Equity,INE880J01026
HONASA IN Equity,INE0J5401028
CELLO IN Equity,INE0LMW01024
NUVAMA IN Equity,INE531F01015
RRKABEL IN Equity,INE777K01022
SBFC IN Equity,INE423Y01016
TITAGARH IN Equity,INE615H01020
SIGNATUR IN Equity,INE903U01023
TVSSCS IN Equity,INE395N01027
TATATECH IN Equity,INE142M01025
RAYMONDL IN Equity,INE02ID01020
SANOFICO IN Equity,INE0UOS01011
INDGN IN Equity,INE065X01017
GODIGIT IN Equity,INE03JT01014
JYOTICNC IN Equity,INE980O01024
BHARTIHE IN Equity,INE343G01021
IREDA IN Equity,INE202E01016
INOXINDI IN Equity,INE616N01034
AADHARHF IN Equity,INE883F01010
NETWEB IN Equity,INE0NT901020
NEWGEN IN Equity,INE619B01017
PTCIL IN Equity,INE596F01018
TBOTEK IN Equity,INE673O01025
AKUMS IN Equity,INE09XN01023
EMCURE IN Equity,INE168P01015
